Date,WJ,CITIC,GY,EB,SH,BJ,ID(XY),CS,NJ,HZ,JS,WX,Merchants,MS,HX,PD,BOC,HS,CRCB,BANKCOMM,JY,NB,PSBC,ICBC,ABC,CCB,PA
2011/3/14,,3.673901,,2.518959307,,2.914517,6.848831,,2.154837,,,,9.273949,2.374866,4.281751,4.446789,2.349856,,3.161439,4.316092,,6.097922,,3.711128,2.370487,4.287389,
2011/3/15,,3.606364,,2.518544,,2.858086,6.800798,,2.111623,,,,9.125139,2.343322,4.15373,4.37561,2.299139,,3.088402,4.261457,,5.972239,,3.603211,2.370487,4.208887,
2011/3/16,,3.626628,,2.53173,,2.892437,6.874164,,2.115553,,,,9.273949,2.356839,4.189293,4.409507,2.299139,,3.19274,4.310628,,6.046714,,3.657169,2.387874,4.220964,
2011/3/17,,3.59286,,2.498765,,2.845822,6.762857,,2.070374,,,,9.138721,2.325295,4.135949,4.358666,2.270964,,3.088402,4.299703,,5.948965,,3.603211,2.341508,4.184732,
2011/3/18,,3.59286,,2.53173,,2.887528,6.765391,,2.08805,,,,9.071076,2.329805,4.15373,4.37222,2.293504,,3.077968,4.310628,,5.995512,,3.567238,2.347304,4.19681,
2011/3/21,,3.599612,,2.511951,,2.853184,6.785625,,2.090016,,,,9.165754,2.325295,4.164396,4.385779,2.31041,,3.083185,4.316092,,6.042058,,3.627192,2.370487,4.23908,
2011/3/22,,3.660396,,2.53173,,2.889983,6.937397,,2.162697,,,,9.368695,2.379376,4.317315,4.467121,2.327315,,3.135355,4.381652,,6.15378,,3.663164,2.382079,4.263234,
2011/3/23,,3.673901,,2.538323,,2.916965,7.02337,,2.178409,,,,9.503991,2.392893,4.349324,4.50102,2.327315,,3.083185,4.398041,,6.167745,,3.68115,2.364691,4.287389,
2011/3/24,,3.640132,,2.518544,,2.899793,6.998036,,2.170553,,,,9.470132,2.38388,4.317315,4.467121,2.344221,,3.218825,4.419898,,6.088614,,3.747099,2.382079,4.335697,
2011/3/25,,3.700917,,2.544916,,2.951315,7.218122,,2.205911,,,,9.673075,2.419933,4.441787,4.54169,2.406207,,3.265776,4.512773,,6.2236,,3.819044,2.434241,4.420237,
2011/3/28,,3.754942,,2.558103,,2.958672,7.24086,,2.19609,,,,9.625769,2.483021,4.459569,4.555244,2.406207,,3.171872,4.50731,,6.181708,,3.801058,2.440036,4.317581,
2011/3/29,,3.869752,,2.591068,,2.98566,7.433086,,2.225553,,,,9.679832,2.537096,4.52358,4.616254,2.394937,,2.775388,4.496385,,6.265501,,3.777076,2.39367,4.311543,
